Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Sample.App\Sample.App.csproj,File,src\Sample.App\Sample.App.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Vine.Q\Vine.Q.csproj,File,src\Vine.Q\Vine.Q.csproj,,,Microsoft.Extensions.DependencyInjection 6.0.1,,,,,"Microsoft.Extensions.DependencyInjection, 6.0.1  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.11"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Vine.Q\Vine.Q.csproj,File,src\Vine.Q\Vine.Q.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 6.0.0,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 6.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.11"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Vine.Q\Vine.Q.csproj,File,src\Vine.Q\Vine.Q.csproj,,,,,,,,Current target framework: net8.0;net6.0 Recommended target framework: net8.0;net6.0;net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,src\Vine.Q\Vine.Q.csproj,File,src\Vine.Q\VineWorkQueue.cs,264,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,return TimeSpan.FromSeconds((double)ticks / Stopwatch.Frequency);
NuGet.0005,NuGet package is deprecated,Active,Optional,1,tests\Vine.Q.Tests\Vine.Q.Tests.csproj,File,tests\Vine.Q.Tests\Vine.Q.Tests.csproj,,,xunit 2.9.2,,,,,"xunit, 2.9.2  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tests\Vine.Q.Tests\Vine.Q.Tests.csproj,File,tests\Vine.Q.Tests\Vine.Q.Tests.csproj,,,,,,,,Current target framework: net8.0;net6.0 Recommended target framework: net8.0;net6.0;net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,tests\Vine.Q.Tests\Vine.Q.Tests.csproj,File,tests\Vine.Q.Tests\VineWorkQueueTests.cs,111,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,await completed.Task.WaitAsync(TimeSpan.FromSeconds(2));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,tests\Vine.Q.Tests\Vine.Q.Tests.csproj,File,tests\Vine.Q.Tests\VineWorkQueueTests.cs,92,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,await completed.Task.WaitAsync(TimeSpan.FromSeconds(2));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,tests\Vine.Q.Tests\Vine.Q.Tests.csproj,File,tests\Vine.Q.Tests\VineWorkQueueTests.cs,56,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,var failure = await failed.Task.WaitAsync(TimeSpan.FromSeconds(2));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,tests\Vine.Q.Tests\Vine.Q.Tests.csproj,File,tests\Vine.Q.Tests\VineWorkQueueTests.cs,27,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,await completed.Task.WaitAsync(TimeSpan.FromSeconds(2));
